article_id,date,title,url,domain,tags,is_commentary,entities,relevance,event_id,burst_start_date,classification_status,summary
11.0,2025-08-18 12:44:05,JPYCとは？金融庁承認の日本初円建てステーブルコインの全貌解説【2025年最新】 - CoinChoice,https://coinchoice.net/jpyc-what-is-japans-first-yen-stablecoin-fsa-approved-2025-latest-guide/,coinchoice.net,制度・規制、解説・論説,1.0,JPYC株式会社、金融庁、岡部典孝、改正資金決済法,95.0,EVT-20250817-01,2025-08-17,done,JPYCは、JPYC株式会社が発行する日本円連動型のステーブルコインで、2025年8月17日に金融庁から国内初の円建てステーブルコインとして承認されました。1JPYC＝1円の固定レートを預金や国債による100％の裏付けで維持し、ブロックチェーン技術により24時間365日の送金が可能です。
12.0,2025-08-18 15:43:11,JPYC発行の円建てステーブルコイン、金融庁が国内初の承認へ - icobench.com,https://icobench.com/jp/news/japan-fsa-approves-yen-stablecoin-jpyc-launch/,icobench.com,制度・規制、発行・資金,0.0,金融庁、改正資金決済法、TerraUSD,95.0,EVT-20250817-01,2025-08-17,done,金融庁は17日、フィンテック企業JPYCが発行する円建てステーブルコインを今秋に承認することを明らかにした。国内初の円建てステーブルコイン承認で、JPYCは日本円に1対1で連動し、銀行預金と日本国債を裏付け資産として保有するモデルを採用する。金融庁は改正資金決済法に基づき、法定通貨に裏付けられたモデルのみを承認対象とする規制方針を示している。
13.0,2025-08-18 17:36:01,【速報】金融庁、JPYCを資金移動業者として登録──国内初の円建てステーブルコインへ、岡部代表「早期発行」を表明 - NADA NEWS,https://www.nadanews.com/308634/,nadanews.com,制度・規制、取扱い・対応,0.0,金融庁、岡部典孝、資金決済法,95.0,EVT-20250817-01,2025-08-17,done,JPYC社は8月18日、資金決済法に基づく資金移動業者としての登録を完了し、日本国内で初めて日本円と1:1で価値が連動するステーブルコイン「JPYC」を発行可能になった。同社代表の岡部典孝氏は「なるべくはやく、日本円ステーブルコインの発行を進めてまいります」とコメントしており、Ethereum、Avalanche、Polygonの3つのブロックチェーン上での発行を予定している。
14.0,2025-08-18 17:45:17,金融庁、JPYCを資金移動業に登録 円建てのステーブルコイン発行へ - 日本経済新聞,https://www.nikkei.com/article/DGXZQOUB186IJ0Y5A810C2000000/,nikkei.com,制度・規制、発行・資金,0.0,金融庁、資金移動業、イーサリアム,95.0,EVT-20250817-01,2025-08-17,done,金融庁は18日、フィンテック企業のJPYCを資金移動業に登録し、同社は国内初となる円建てのステーブルコイン「JPYC」の発行を開始すると発表した。「1JPYC=1円」で交換でき、日本円や預金、国債を裏付け資産とし、9月にも販売を始める見込みである。
15.0,2025-08-18 23:20:43,円建てステーブルコイン発行へ ステーブルコインとは？初心者にもわかる基礎知識 - coki.jp,https://coki.jp/article/column/57086/,coki.jp,制度・規制、解説・論説、競合・市場環境,1.0,JPYC株式会社、金融庁、改正資金決済法、三菱UFJ信託銀行,85.0,EVT-20250817-01,2025-08-17,done,2025年8月、JPYC株式会社が金融庁から資金移動業者として登録され、日本初となる日本円と1対1で連動する円建てステーブルコイン「JPYC」の発行が可能になった。ステーブルコインは価格変動が大きいビットコインなどと異なり、法定通貨や資産と連動させることで価値を安定させた暗号資産であり、国際送金やブロックチェーン上のサービス利用に適している。円建てステーブルコインの登場により、為替リスクや手数料の削減が期待され、日本のデジタル経済において重要な転機となるとみられている。
16.0,2025-08-19 00:00:00,円建てのステーブルコイン、今秋にも発行 国内ベンチャー「JPYC」が実施へ - 産経ニュース,https://www.sankei.com/article/20250819-PPLCQJOTBVJOPJJJJIPHS4EJ5A/,sankei.com,発行・資金、制度・規制,0.0,JPYC、金融庁、岡部典孝,95.0,EVT-20250817-01,2025-08-17,done,電子決済ベンチャー「JPYC」は、日本円と1対1で交換可能な円建てステーブルコインを今秋に発行する方針を明らかにした。同社は既に金融庁への資金移動業者登録を済ませており、このコイン発行は国内初となる見通し。
18.0,2025-08-19 01:00:00,JPYC、ステーブルコイン発行へ 「資金移動業」取得し国内初 - nikkinonline.com,https://www.nikkinonline.com/article/305602,nikkinonline.com,制度・規制、発行・資金,0.0,JPYC、第二種資金移動業、岡部代表取締役,95.0,EVT-20250817-01,2025-08-17,done,JPYCは8月18日に第二種資金移動業者の登録を取得し、早ければ9月にも日本円に連動するステーブルコインの発行を開始する。資金移動業型の電子決済手段は国内で初めてであり、システム整備やパートナー企業開拓を進めながら新たな決済インフラの確立を目指している。
17.0,2025-08-19 01:00:00,サークルが日本初の承認済みステーブルコインに投資 - BeInCrypto,https://jp.beincrypto.com/japans-first-approved-stablecoin-is-invested-by-circle/,jp.beincrypto.com,制度・規制、発行・資金、提携・連携、解説・論説,1.0,Circle（サークル）、金融庁、岡部典孝、JPYC株式会社,95.0,EVT-20250817-01,2025-08-17,done,日本の金融庁がJPYC株式会社による国内初の円建てステーブルコイン発行を承認し、同社は今年後半のトークン配布を計画している。JPYC は 2019 年設立のフィンテック企業で、2021 年にはサークル・ベンチャーズを含む複数の上場企業から約 5 億円の投資を受けており、銀行預金と国債により発行を裏付けている。
19.0,2025-08-19 01:00:00,【国内初】日本円建ステーブルコイン発行へ－資金移動業者の登録を取得 - JPYC株式会社,https://corporate.jpyc.co.jp/news/posts/first-yen-stablecoin-jpyc,corporate.jpyc.co.jp,,,,,,,failed,
20.0,2025-08-19 01:00:00,日本、今秋にも初の円建てステーブルコインを承認へ - abc株式会社,https://www.gfa.co.jp/crypto/news/market-news/news-1497/,gfa.co.jp,制度・規制、発行・資金,0.0,金融庁、JPYC社、岡部典孝、改正資金決済法,95.0,EVT-20250817-01,2025-08-17,done,金融庁は2025年8月17日、フィンテック企業JPYC社の円建てステーブルコイン「JPYC」を国内で初めて承認する方針を示し、8月中にもJPYC社を資金移動業者として登録し、数週間以内に販売開始が予定されている。JPYCは1JPYC＝1円に価値が連動するよう設計され、銀行預金や日本国債を裏付け資産として保有することで価格の安定性を確保している。
21.0,2025-08-19 11:03:56,アステリアは連日Ｓ高、ＪＰＹＣ出資企業として人気化 - かぶたん,https://kabutan.jp/news/marketnews/?b=n202508190394,kabutan.jp,市場・統計,0.0,アステリア、パーソルホールディングス、アイフル,45.0,EVT-20250817-01,2025-08-17,done,アステリアは傘下のファンドを通じてJPYCへ出資する企業として株式市場で注目され、ストップ高に買われている。JPYC出資企業にはパーソルホールディングス、アイフル、電算システムなどが含まれる。
22.0,2025-08-19 15:40:00,PayPayに強力な対抗馬？ 日本円連動ステーブルコイン「JPYC」を金融庁が認可、今秋始動 - CNET Japan,https://japan.cnet.com/article/35236850/,japan.cnet.com,制度・規制、解説・論説,1.0,JPYC社、岡部典孝、PayPay、金融庁,95.0,EVT-20250817-01,2025-08-17,done,ステーブルコイン発行のJPYCが資金移動業者の登録を取得し、日本円と1対1で連動する「JPYC」の発行が国内で初めて可能となった。JPYCは日本国債で100％保全され、ブロックチェーンを通じて世界中に低手数料で送金でき、PayPayやSuicaと異なりブロックチェーン上で自由に利用できる特徴を持つ。JPYC社は発行・償還時の手数料を取らず、ユーザーから集めた日本円を短期国債の購入に充てることで金利収入を得ることを予定している。
23.0,2025-08-19 16:00:00,アステリアは連日Ｓ高、ＪＰＹＣ出資企業として人気化◇ - ライブドアニュース,https://news.livedoor.com/article/detail/29395442/?from_page=internal,news.livedoor.com,制度・規制、市場・統計,0.0,アステリア、金融庁、資金移動業者登録,75.0,EVT-20250817-01,2025-08-17,done,フィンテックベンチャーのJPYC（東京都千代田区）が18日に金融庁から資金移動業者に登録され、国内初となる円建てステーブルコインのサービスを開始する見通しが立ったことで、JPYC出資企業のアステリアが株式市場で買われストップ高となっている。関連銘柄を探す株式市場の動きが活発化しており、パーソルホールディングスやアイフル、電算システムなど複数の出資企業が注目されている。
24.0,2025-08-19 16:00:00,【ステーブルコインの何がすごいのか？】ＪＰＹＣが国内初の合法円ステーブルコイン発行体に、関連銘柄も急騰 - kabu-ir.com,https://kabu-ir.com/article/517693841.html,kabu-ir.com,制度・規制、提携・連携、解説・論説,1.0,JPYC株式会社、資金決済法、アステリア、SBIホールディングス,95.0,EVT-20250817-01,2025-08-17,done,JPYC株式会社が8月18日に資金決済法に基づく資金移動業者として登録を完了し、日本国内で初めて日本円と1対1で連動する合法的な円ステーブルコインを発行できる発行体となった。これにより、価格変動リスクがほぼない円建てデジタル通貨による即時送金や低コスト決済が実現され、国内のキャッシュレス社会の次段階への進展が期待される。同社の出資企業や提携先などの関連銘柄が注目を集めており、金融・IT・通信各分野の企業連携が進展する見通しである。
25.0,2025-08-19 16:00:00,日本円建てステーブルコイン「JPYC」登場 金融庁が国内初の登録 - ITmedia,https://www.itmedia.co.jp/news/articles/2508/19/news087.html,itmedia.co.jp,制度・規制、発行・資金,0.0,JPYC株式会社、金融庁、資金移動業者、改正資金決済法,95.0,EVT-20250817-01,2025-08-17,done,Web3スタートアップのJPYCは、資金決済法に基づく「資金移動業者」の登録を取得し、日本円と1対1で価値が連動するステーブルコイン「JPYC」の発行を開始した。日本円の預貯金や国債を裏付け資産としており、EthereumとAvalanche、Polygonの3チェーンで発行される予定である。今後、JPYCと日本円の発行・償還サービスや送金・決済機能の提供、パートナー企業との協業に取り組む。
26.0,2025-08-19 16:00:00,国産ステーブルコイン、今秋発行へ 初の円建て、金融庁が承認―ＪＰＹＣ - 時事ドットコム,https://www.jiji.com/jc/article?k=2025081900846&g=eco,jiji.com,制度・規制、発行・資金,0.0,JPYC、金融庁、岡部典孝,95.0,EVT-20250817-01,2025-08-17,done,フィンテック企業のJPYCは、金融庁から「資金移動業者」として承認を受け、国内初の円建てステーブルコイン「JPYC」を今秋に発行開始する。個人の海外送金や法人決済での利用を想定しており、3年で発行額1兆円を目指すとしている。
27.0,2025-08-19 16:00:00,ステーブルコインの発行を国内で初めて認可、国債保有者としての期待も（久保田博幸） - エキスパート - Yahoo!ニュース,https://news.yahoo.co.jp/expert/articles/3a2ba581bb739f8467caca7cac8d9428cbae18f8,news.yahoo.co.jp,制度・規制、発行・資金、解説・論説,1.0,金融庁、JPYC、改正資金決済法、国際決済銀行,85.0,EVT-20250817-01,2025-08-17,done,金融庁は今秋にも円建てステーブルコイン「JPYC」の発行を国内で初めて認可し、フィンテック企業JPYCを資金移動業に登録する。JPYCは1円に価値を保つため預金や国債を裏付け資産とし、今後3年間で1兆円分の発行を目標としており、米国ではステーブルコイン発行体が国債の重要な買い手になっていることから、日本でも新たな国債保有者としての期待が出ている。
28.0,2025-08-19 20:00:00,JPYCが国内初の「円建てステーブルコイン」発行へ。岡部社長が「暗号資産」との違いを強調 - Business Insider Japan,https://www.businessinsider.jp/article/2508-jpyc-yen-denominated-stablecoin/,businessinsider.jp,制度・規制、発行・資金,0.0,岡部典孝、関東財務局、Circle,95.0,EVT-20250817-01,2025-08-17,done,JPYCは8月18日に資金移動業者の登録を取得し、日本円と1：1で連動する電子決済手段「JPYC」を発行可能になった。これは国内初の円建てステーブルコインであり、暗号資産とは異なり日本円（預貯金および国債）により全額保全される。2025年秋のサービス提供開始を予定しており、イーサリアム、アバランチ、ポリゴンの3つのブロックチェーン上での発行が計画されている。
36.0,2025-08-20 01:00:00,JPYC株式会社が日本円建ステーブルコインを初発行－資金移動業者としての新たな一歩 - ニュースメディアVOIX,https://voix.jp/money/cryptocurrency/14200/,voix.jp,発行・資金、制度・規制,0.0,JPYC株式会社、資金移動業者、改正資金決済法,95.0,EVT-20250817-01,2025-08-17,done,JPYC株式会社が2025年8月18日付で資金移動業者の登録を取得し、国内初の日本円建ステーブルコイン「JPYC」の発行を発表しました。JPYCは日本円と1：1で連動し、預貯金や国債を裏付け資産としており、Ethereum、Avalanche、Polygonの3つのチェーンで利用可能です。同社は今後、JPYCの発行・償還サービスを通じて、送金や決済、Web3サービスとの連携など多様なユースケースに対応し、利用促進を目指すとのことです。
34.0,2025-08-20 01:00:00,注目！結城はるみの特選テーマ株 国内初のステーブルコインJPYC発行へ！「ステーブルコイン、JPYC関連銘柄」総チェック | 個別株 - 株探ニュース - かぶたん,https://kabutan.jp/news/marketnews/?b=n202508190485,kabutan.jp,制度・規制、解説・論説、競合・市場環境,1.0,金融庁、JPモルガン・チェース、JPYC関連銘柄,85.0,EVT-20250817-01,2025-08-17,done,金融庁が国内初の円建てステーブルコインJPYCの発行を承認することが報じられ、規制環境の整備による信頼性向上、新たな金融インフラとしての可能性、成長市場への早期参入機会の3つの理由から、ステーブルコイン関連銘柄が中長期的な投資対象として注目されている。TIS、アステリア、シンプレクス・ホールディングス、三菱UFJフィナンシャル・グループなど、多くの企業がJPYCの発行支援やステーブルコイン事業に参入している。
33.0,2025-08-20 01:00:00,デジタルアセットマーケッツ、電算システムのステーブルコイン決済送金基盤の構築支援 - NADA NEWS,https://www.nadanews.com/308698/,nadanews.com,提携・連携、制度・規制,0.0,デジタルアセットマーケッツ、電算システム、インタートレード,45.0,EVT-20250817-01,2025-08-17,done,デジタルアセットマーケッツは8月19日、電算システムのステーブルコイン決済送金基盤の構築支援を決定し、ブロックチェーン決済に係るコンサルティング業務委託契約を締結した。電算システムは全国6万5000店以上のコンビニやドラッグストアでの決済インフラを構築しており、昨日18日付けでJPYCと資本業務提携を締結している。
35.0,2025-08-20 01:00:00,ユーザーの保有・送金額に上限なし──円建てステーブルコイン発行・償還サービス、今秋スタート：JPYC岡部氏 - NADA NEWS,https://www.nadanews.com/308717/,nadanews.com,制度・規制、発行・資金,0.0,岡部典孝、資金移動業者、JPYC EX、関東財務局,95.0,EVT-20250817-01,2025-08-17,done,JPYCは日本初の資金移動業者として登録を完了し、日本円と1：1で連動するステーブルコイン「JPYC EX」の発行・償還サービスを今秋スタートさせる。ユーザーがウォレットに保有するJPYCについては送信額や決済に上限はなく、100万円の取引制限はJPYCとユーザー間の発行・償還に限定されることが明らかにされた。
30.0,2025-08-20 01:00:00,日本円に連動する初のステーブルコイン JPYCが資金移動業登録 - Impress Watch,https://www.watch.impress.co.jp/docs/news/2039701.html,watch.impress.co.jp,制度・規制、発行・資金,0.0,資金移動業者登録、Ethereum、Avalanche、Polygon,95.0,EVT-20250817-01,2025-08-17,done,JPYCは8月18日付で資金移動業者の登録を取得し、国内初の日本円に1:1で連動するステーブルコイン「JPYC」を発行可能になった。裏付け資産は日本円（預貯金および国債）で、Ethereum、Avalanche、Polygonの3つのチェーンでの発行を予定しており、今後は発行・償還サービスや決済・送金機能の提供を進める。
29.0,2025-08-20 01:00:00,JPYC、日本初の円ステーブルコインを発表し、デジタル金融における歴史的マイルストーンを記録 - Binance,https://www.binance.com/ja/square/post/28532318382818,binance.com,制度・規制、発行・資金,0.0,金融庁、岡部則孝、Ethereum、Polygon,95.0,EVT-20250817-01,2025-08-17,done,JPYCは、日本初の法的に承認された円ステーブルコインを発表し、日本円により1:1で完全に裏付けられています。Ethereum、Avalanche、Polygon上で発行されるこのステーブルコインは、電子決済手段として認識され、送金や支払い、Web3プロトコルの統合を可能にする計画です。
32.0,2025-08-20 01:00:00,アステリアは連日Ｓ高、ＪＰＹＣ出資企業として人気化◇ (2025年8月19日掲載) - ライブドアニュース,https://news.livedoor.com/topics/detail/29395442/,news.livedoor.com,制度・規制、市場・統計,0.0,アステリア、金融庁、資金決済法,75.0,EVT-20250817-01,2025-08-17,done,フィンテックベンチャーのJPYCが8月18日に金融庁から資金移動業者に登録され、国内初となる円建てステーブルコインのサービスを開始する見通しとなった。このニュースを受けてJPYC出資企業であるアステリアの株価が連日ストップ高となっている。
31.0,2025-08-20 01:00:00,「日本版プロジェクト・クリプト」推進へ 国民民主党の玉木代表、ステーブルコインの支援を表明 - CoinPost,https://coinpost.jp/?p=643352,coinpost.jp,制度・規制、提携・連携,0.0,国民民主党、玉木代表、JPYC株式会社、金融庁,75.0,EVT-20250817-01,2025-08-17,done,国民民主党の玉木代表は、JPYC株式会社が日本円ステーブルコイン「JPYC」の発行登録を取得したことを受け、「日本版プロジェクト・クリプト」を進めていくと表明した。玉木代表はステーブルコインが低コストで効率的な送金・決済を実現し、円の国際的な信認向上に寄与することを期待する一方で、現在の送金上限100万円という課題に政策面でサポートしていくと述べた。
37.0,2025-08-20 02:00:00,円建てステーブルコイン、JPYCが9月にも発行 即時・低コストで - 日本経済新聞,https://www.nikkei.com/article/DGXZQOUB190VI0Z10C25A8000000/,nikkei.com,発行・資金、提携・連携,0.0,JPYC、金融庁、ブロックチェーン,95.0,EVT-20250817-01,2025-08-17,done,フィンテック企業のJPYC（東京・千代田）が、日本円に価値が連動するステーブルコイン「JPYC」の発行を9月にも開始する。ブロックチェーン技術を基盤として、即時・低コストの送金手段として普及を目指すもので、越境決済などの領域で従来の金融ビジネスに変化をもたらす可能性を持つ。
38.0,2025-08-20 05:00:00,ステーブルコインのJPYC代表「デジタル円を数十億人に届ける」 - 日本経済新聞,https://www.nikkei.com/article/DGXZQOUB1964Z0Z10C25A8000000/,nikkei.com,制度・規制、発行・資金,0.0,JPYC（フィンテック企業）、金融庁、岡部典孝,95.0,EVT-20250817-01,2025-08-17,done,フィンテック企業のJPYCが金融庁からステーブルコイン発行に必要な資金移動業の登録を受け、ステーブルコイン発行を前提とした初の登録事例となった。代表取締役の岡部典孝氏は、円を数十億人に届けることで日本円の価値向上に貢献したいと述べた。
39.0,2025-08-20 08:00:59,JPYC、国内初の資金移動業者型ステーブルコインの強みとは？POS決済など、日本円での通常決済も視野に - ペイメントナビ,https://paymentnavi.com/paymentnews/164613.html,paymentnavi.com,制度・規制、発行・資金、解説・論説,1.0,岡部典孝、Circle、金融庁,85.0,EVT-20250817-01,2025-08-17,done,JPYCは2025年8月18日付で資金移動業者の登録を得て、国内初となる日本円と1対1で連動するステーブルコイン「JPYC」の発行を開始する。同社は4年以上のステーブルコイン事業実績を持ち、従来金融と同等のAML/CFT体制を構築しており、日本円での通常決済やPOS決済への活用を視野に入れている。
40.0,2025-08-21 00:00:00,日本円建ステーブルコインJPYCと企業システムをノーコード連携 | プレスリリース | ニュース - アステリア株式会社,https://jp.asteria.com/news/2025082124897/,jp.asteria.com,取扱い・対応、提携・連携、実証実験,0.0,アステリア株式会社、JPYC株式会社、ASTERIA Warp,75.0,EVT-20250817-01,2025-08-17,done,アステリア株式会社は、JPYC株式会社が発行する日本円建ステーブルコイン「JPYC」と企業システムをノーコードで連携できる「新JPYCアダプター」を開発すると発表しました。新アダプターにより、企業の財務会計システムや基幹システムとJPYCのトークン送受を直結し、資金移動の自動化・高速化を実現し、企業へのステーブルコイン普及を促進します。
42.0,2025-08-21 01:00:00,JPYC、日本初の円建てステーブルコイン発行へ ―― ステーブルコインは普及するか - newspicks.com,https://newspicks.com/news/14908919/body/,newspicks.com,制度・規制、解説・論説,1.0,JPYC株式会社、資金移動業者、米国財務省,95.0,EVT-20250817-01,2025-08-17,done,JPYC株式会社は2025年8月18日に資金移動業者として登録を取得し、日本円と1：1で連動する円建てステーブルコイン「JPYC」の発行が正式に認められました。同日に米国財務省もステーブルコインの包括的ガイドラインを公表し、国際的な規制整備が加速している中で、日本のデジタル通貨実用化が進展しています。
41.0,2025-08-21 01:00:00,大阪初開催！「JPYC React SDK Hands-on」＆代表岡部による次世代決済トークセッション - PR TIMES,https://prtimes.jp/main/html/rd/p/000000272.000054018.html,prtimes.jp,活用事例,0.0,React SDK、Slash Vision Labs、Orbs Japan,65.0,,,done,JPYC株式会社は2025年9月7日に大阪で開発者向けイベント「JPYC React SDK Hands-on」を開催し、ステーブルコイン送信の実装方法を学べるハンズオンと、代表岡部によるトークセッション「ステーブルコインと次世代決済」を実施する。参加は無料で、先着30名にはEthereum国際会議「EDCON」の一般入場券（199ドル相当）がプレゼントされる。
43.0,2025-08-21 12:21:28,「ステーブルコイン」が5位にランク、資金移動業者に登録されたJPYCが円建て発行へ＜注目テーマ - かぶたん,https://kabutan.jp/news/marketnews/?b=n202508210532,kabutan.jp,制度・規制、市場・統計、競合・市場環境,0.0,JPYC、資金移動業者、デジタルアセットマーケッツ、電算システム,85.0,EVT-20250817-01,2025-08-17,done,フィンテック企業のJPYCが資金移動業者に登録され、日本円と1対1で連動するステーブルコイン「JPYC」を発行可能な国内初の資金移動業者となった。ステーブルコインが人気テーマランキングで5位にランクインする中、関連企業によるステーブルコイン決済基盤の構築支援やサービス開発が進められている。
44.0,2025-08-21 14:54:52,日本円ステーブルコイン「JPYC」と企業システムをノーコードで連携、アステリアが新アダプター開発へ - NADA NEWS,https://www.nadanews.com/309018/,nadanews.com,取扱い・対応、提携・連携、制度・規制,0.0,アステリア、JPYC株式会社、ブロックチェーン推進協会,85.0,EVT-20250817-01,2025-08-17,done,アステリアは、JPYC株式会社が発行予定の日本円ステーブルコイン「JPYC」と企業システムをノーコードで連携させる「新JPYCアダプター」を開発することを発表した。このアダプターにより、プログラミングを介さずに企業の財務会計システムなどとブロックチェーン上の決済データを接続し、国内企業におけるステーブルコインの導入を促進する。
45.0,2025-08-21 16:00:00,電算システムがストップ高､｢ステーブルコイン｣で業容拡大期待 - 四季報オンライン,https://shikiho.toyokeizai.net/news/0/900119,shikiho.toyokeizai.net,,0.0,,0.0,,,done,申し訳ございませんが、提供いただいたテキストはコンテンツブロック機能に関するエラーメッセージであり、記事の本文が含まれていないため、要約を生成することができません。
